artist_name,artist_id
MC仁,4489
Mc苏刚,1039663
木梳,1182160
孟维来,30470286
Mc楚新,12506190
马闯,4532
马浚伟,4490
mAjorHon,896274
Mc阳子,12132083
面筋哥,13971031
马如龙,203214
喵步小雨中,957152
方仔Rich John,1105059
马三立,4561
Mc画师,12233014
蒙面哥,817036
面具锋,13923069
Melo,29304235
漠城,1032310
茉莉僧,816093
MLK麋鹿王国,12091064
MILLAN,1049093
Matzka玛斯卡,11976077
MC星辰,12154030
马常胜,4538
马丁,4607
麻吉弟弟,4482
漠心藤,12061030
MC阿泽哥,12515196
马念先,4492
马海生,4533
梅岭,4566
苗雨,1038382
Mc熙阳,12309156
Mllano,1053118
麦子杰,4496
MC武帝,12309126
幕人,12263031
马志明,4568
马季,894087
马旭东,4619
牟天任,27695688
苗阜,896782
Muma木马,12064064
梅兰芳,4548
孟广禄,4574
马戏团小丑,789391
马德钟,4508
那吾克热-NW,12514278
泥鳅Niko,990051
NL不分,190349
Noicybino,1074042
宁桓宇,980113
南宫嘉骏,4678
南风ZJN,985227
倪安东,4672
Nurmuhammat Tursun,12049020
Nurim Kuanix,12049170
Nellee,1039882
牛建党,4656
宁夏,1049392
南风（姜海龙）,4662
Nayim.Nabi,1050258
你样哥,12908088
南风,30894239
牛歌,12091030
南玛子呷,1053166
南城二哥,804367
宁林,1019301
南瓜饭,1046339
拿哥,12196231
尼格买提·热合曼,12776731
还没睡醒的DiDi,1050110
嫩桃弟弟,1057144
奶猴子,12108665
南派三叔,12098066
聂枫,12312084
倪可,14055176
Neko,29302224
聂远,1049185
南明东,14713145
聂禹,4666
南拳妈妈弹头,27813407
倪力,935138
牛牛,1001005
Nencol ,189831
No.6,1050265
宁峰,4677
奶油小生,27693341
尼多,13644134
霓虹爱神Neon Eros,30892388
南卓仁波切,4686
牛骏峰,12042046
乃日戈,1041070
埖小迪,797362
暖场小粽子,1027039
男森RAP,1124323
怒道诗情,28391235
嗯哼,13580194
Nacid,1019357
娘吾加,28897355
